,Category,Response_preprocessed
2380,SeekingMoreInfo,Can you share details of Detox or Weight loss program
937,Retired,Erbom has terminated his employment 16 2018 and retired. For questions or requests contact Advanias exchange at 08-54670000
2934,SeekingMoreInfo,DHL DHL DocumentTracking No Confirmation@minimac. 7ts-e.comA DHL Shipment is to arrive at your destination. Check informations below for delivery schedule . SCHEDULE  DETAILS Expected Delivery Date: 822021Type of Shipment: AIR WAY BILLDo Re-confirm your document and Tracking Number belowView Document  Tracking No
3324,SeekingMoreInfo,Share more details about your company management and story first
1333,ReferredSomeone,So basically I am not Rohini. And I do not recall registering for Digi hireby any chance. Can you send these queries to @Sneha Sureshsneha. suresh@jalantechnologies.com
1935,Retired,"With a combination of happiness for her and sadness for us, I am writing to share that Diane Jones will be retiring from Smith and Co. effective June 3 of this year."
936,MovedOut, As of Wed. Sept. 8 I am no longer at Workforce Alliance. Until my replacement comes on board please see contact information below:For Urgent Matters: Josie Vazquez jvazquez@workforcealliance. biz or 203 867-4030 x 231. For BillingFinance: Franklin Cruz fcruz@workforcealliance. biz or 203 867-4030 x 257. Workforce Alliance and the American Job Centers in South Central CT are open by appointment. 
567,MovedOut,". We regret to inform you that this recipient is no longer employed with Mutual of Enumclaw and this email account is now closed.  We apologize for any inconvenience this may have caused. For assistance please contact our Member Services department at employeecontact@mutualofenumclaw.com,employeecontact@mutualofenumclaw.com. "
1855,OutOfOffice,Thanks for your mail am on vacation till 4th Jan 2021 and will return to office on 5th Jan 2021. During this period please expect delays in responses. For any urgent issues please text me on 91
2753,SeekingMoreInfo,SakshiAre you currently providing services in the Logistics sector as well Ifyes Please share your company profile to discuss further
1646,AgreedToMeet,Thanks for your invitation. Joined the group. 
2417,SeekingMoreInfo,As discussed with you please find attached the google drive link for theneeded documents. 
1793,Deactivated,Apologies for the lack of response. Unfortunately I am not currently seeking new employment. I am in the process of changing roles within EDF and would like to see how the new role is before I consider any alternatives. Also for your information I am based in Bristol and am not currently open to leaving the city 
1431,SeekingMoreInfo,Last week I had tried calling the mobile number 8308950700 regarding the seminar which appears to be incorrect. Do look into the same and correct if necessary.
2639,ConnectLater,COWI handles personal data as stated in our Privacy 
1014,ReferredSomeone,If you have a proposal send it to ssareen@tenable.com. he manages ourmarketing and pipeline generation. 
1929,ReferredSomeone,Moving forward please connect with Katrina Milbourn at katrina@ethosmedicalstaffing.com
2563,MovedOut,David Avraamides is no longer with Centerbridge Partners. Please email Ellie Reid at ereid@centerbridge.com or call
127,Retired,I have retired from MTSU.  My replacement is Yvette Clark and she can be reached at Yvette.Clark@mtsu.edu or 615.898.2566.
2385,Deactivated, thank you for the message but the scope of activity matching the candidates expertise is not any longer under my responsibility. 
1348,Unsubscribed,No. Thanks. No need to send us mails
356,SeekingMoreInfo,Alpa Can u speak to her and understand how can they help us in legal matters
828,ConnectLater,Actually I dont know how to implement your smart tools to our business. Our support team are intended to provide shipping quotes to the customers. I dont think that your AI will help us soon. But I hope
1640,ConnectLater,I will call you after discussed with our Seniors. 
985,OutOfOffice,Thanks for getting in touch. I'm on annual leave today back in the office Monday 20th february. 
2189,ConnectLater,If request received from project will contact you  thanks for your support
2899,Retired,"Mr. S Selvaraj has retired from the services of the Company and he is replaced by Mr. Praveen Pathak whose mail id is Praveen.Pathak@royalsundaram.in,Praveen.Pathak@royalsundaram.in."
363,Retired,I have now retired  Please contact Mike Doole mdoole@advantagegroup.comThis e-mail message is intended to be received only by persons entitled to receive the 
346,SeekingMoreInfo,I replied to you on Monday after your multiple attempts to get ahold of meand now I cannot seem to get ahold of you. How did you get my contact info
2346,SeekingMoreInfo,Great to connect with you. At present we have urgent 5 positions of IT recruiter for perm hiring for our Bangalore Marathalli HQ . This is pure corporate IT job for our Deliverys.  XPT Software is a software services company specializing in Embedded Wireless Telecom Automotive VLSI and software development working on our Tier-1 clients projects in India Germany and Australia . Please work on below requirement and share profiles quickly. Please go through the complete JD and Instructions before start sourcing. We have 5 positions open for IT  recruiter1-6yrs  for our Marathalli Bangalore office for domestic recruitment internal hiring. This is permanent employment with XPT Software.  We are not a consultancy companyIt is work from Marathalli Bangalore office and No work from Home so process only those candidates who want to work from office. 5 days working from 10am to 7. 30pm.education B. E. B. Tech BCA BSc. M. tech  No B.comBABBA Max CTC1-2 yr 15000- 18000 inhand2-3 yr 18000-22000 inhand Or max 3Lk as CTC4-6 yr max 4Lk as CTCJoining immediate to 1 week maxRoles for IT recruiter-Corporate Job as permanent employee of XPT Software-No deploymentEnd to end IT recruitment. Sourcing for Contract staffing  permanent staffingCandidates from consultancy company would be preferred Candidate need to demonstrate ability to first level of screening and recommendselect qualified applicants based on targeted skills and abilities for different skills. Sourcing Screening  Validation of Profiles to ensure the right quality sourcing and ensure closure of positions. Ability to discuss the required skills salary negotiation
2890,Deactivated,Sorry Im not interested. 
712,SeekingMoreInfo,We do not have any requirement for staffing solutions at this moment. You could share your company profile and other details with me and we could reach out to when the requirement comes up. 
2349,OutOfOffice,"thanks for your email. I will be back in office on may  25th 2021. 
Your email will not be forwarded automatically. "
11,Retired,Scott George has recently retired from KPMG and can no longer be contacted at this e-mail address. If your message concerns KPMG business please contact Bob Garrett at rgarrett@kpmg.com or 1 212 872-3800.
2742,AgreedToMeet,We had seen the demo of 7Targets last June and wouldlike to reactivate the conversation for making a purchase decision. Can we talk today at 3:30 PM for 30 minutesThanks.
2117,SeekingMoreInfo,Thank you for your email. Do you handle female domestic helpers overseas employment If you doplease provide me with some resumes. I require the age to be around 35 has at least high school educationsmart self-starter presentable can cook and preferably with GCCexperience. Although our house hold is small mayself m wife and 3 girls ages 12 7and 4: we would like to have 2 helpers in the house to share daily work andresponsibilities. We would like them to arrive within the next 3 months.
1835,AgreedToMeet,Organizations across the world witness poor performance or conflicts between managers due to inadequate communication skills. To increase the self confidence of your management team and to help them exert authority as people managers we would like to introduce below upcoming workshop. Brand yourself with impactful communicationFirst-Time Managers Development Program. em Some core areas we will cover and offer solutions to include-p Develop communication presentation skills and self confidencep Develop managerial skillsp Align strength of team members with prioritize resourcesJoin us on 17th and 24th August onwards for a 4-day workshop 3 hrsday where well discuss different methods of improving your managers capabilities and performance. Should you have any queries I would be happy to discuss more about this workshop with you. 
794,Retired,RETIREMENT 
3146,Deactivated,No thank you our recruitment is all government not able to utilise private. 
95,ConnectLater,your resort is awesome
130,OutOfOffice,I am OOO on medical leave with no access to emails  calls  
2552,Retired,Eagle announces the retirement of Mr. Cameron McCallum Vice President Western Canada.  Cam enjoyed a 21 year career with Eagle contributing to much of our success in Western Canada over that period of time.  We wish him all the best in his well-deserved retirement.  Taking care of business going forward:For inquires pertaining to Alberta and Saskatchewan please contact Ms. Kelly Benson @ k.benson@eagleonline.comFor inquires pertaining to British Columbia please contact Mr. Morley Surcon @ m.surcon@eagleonline.comKelly and Morley are long time Eagles executives with deep knowledge of Eagles Western Canada business which will facilitate a smooth transition.Eagle looks forward to continuing to build our presence in Western Canada.
3303,Unsubscribed,UNSUBSCRIBE
2264,AgreedToMeet,Thanks for your email I would be interested in the role you have described and would like to discuss the opportunity further with you. My mobile number is 07494282632
1901,Unsubscribed,this is  the last  reminder. Your system  has been  hacked. All the  data from  your device  were copied  to our  servers. Besides a video  was recorded  from your  camera wle  you were  watcng porn. My  virus infected  your device  via an  adult website  that you  visited  recently. If you  dont know  how that  works I  will provide  the details. The  trojan virus  provides me  full access  as well  as control of  the device  you are  using. As a  result I  can see  your screen  turn on  the camera  and microphone  wle you  wont know about  it. I captured  a video  from your  screen and  the camera  of the  device. I  edited a  video wherein  one part  of  the screen  there is  a video  of you  masturbating and  in the  other a  pornograpc video  that you  opened at  that time. I can  see all  the contacthis  from your  phone and  all of  your social  networks. At one  moment I  can send  this video  to all the  contacthis on  your phone  email and  social networks. Moreover  I can  also send  your email  and messenger  data to  everybody. I can  destroy  your reputation  forever. If you  want to  avoid this  then:Send 1300  USD USA  dollars to  my bitcoin  walletif you  dont know  how to do  that search  xe2x80x9cbuy bitcoinxe2x80x9d  using Google. My  BTC wallet:  bc1qlvvlndet2efvafwt6tjcqq9shshpx606llh0xdAs soon  as I  receive the  payment I  will destroy  your video  and guarantee not  to disturb  you ever  again. You have  50 hours  a little  more than  2 days  to complete  this payment. I  receive an  automatic  notification that  this email  has been  read. Likewise  the timer  will automatically  start after  you read  the current  email. Dont try  to complain anywhere  since the  wallet cannot  be tracked  in any  way the  email from  wch this  mail came  is also  cant be  tracked  and is  created automatically  so there  is no  point in  replying to  me. If you  try to  share this  letter with  anyone the  system  will automatically  send a  request to  the servers  and servers  will start  sending all  of the  data to  the social  networks. Changing passwords in  social networks  email devices  wont help  since all  the data  has already  been downloaded  to my  servers cluster. I  wish you  good  luck and  dont do  anytng stupid.  think about  your reputation. 
2496,Unsubscribed,Remove my email 
2718,SeekingMoreInfo,I have shared my response allready. 
1933,Deactivated,Yes I did see your mail and apologise for not providing feedback. I have taken a look at the role and it is not something I want to pursue. Appreciate making contact and good luck in finding a suitable candidatE
2448,Unsubscribed,Please remove us from your email listing we have no issues at this stage and are fine
1866,AgreedToMeet,Thanks Mayur. Whats your number Kanishk 
1659,Deactivated, Thank you for your email however I am not currently looking for a new position. 
517,OutOfOffice,I will be on leave until Monday the 18th of October. If your email or request is urgent and cannot wait please contact dl-risk-cto@ubs.com.
1858,ReferredSomeone,Thank you for your email. With the wind-down of the Central New York Care Collaborative my position will separate from service effective 1231. Please send future requests and questions to info@cnycares.org
2244,SeekingMoreInfo,Your software is supposed to use AI to personalize email. Youre sending me the same cold email template that everyone else sends. Please explain how 7Targets is different when Im seeing you use it on me and its not different at all
1278,Retired,I have retired as of January 29 2021 please contact Bob Gerber at robert.gerber@hrccu.org or 518 741-4984.
3288,ConnectLater,I am sorry for the delay in responding but things are busy at the moment. I am currently in full time employment with centrica but may be looking in the near future depending on what happens over the next few weeks. I will contact you to let you know if I am in the market for a new challenge. 
951,Unsubscribed,Well you are disturbing. I have informed in the past that I am notinterested. Stop e-mailing me. Do remove me from your mailing list. Whatsapp list.  Lets not waste our time. Yours in sending e-mails to meand mine in deleting them. Would be appreciated if you do the needful. 
1121,Deactivated,We have  already engaged an law agency. Thanks
2205,MovedOut,I am no longer a Cherwell employee. Should you need to reach me personally you can do so at 480 227-9562.
420,Deactivated,I am finding this is not a professional approach to connect with any potential business opportunity. I have seen your mails on daily basis in my inbox which irritates a receiver who is not interested as of now. Trust this is clarified. With 
923,Unsubscribed,No thanks. I do not need the help. Please do not keep contacting me. 
2508,ConnectLater,thx for the update . unfortunately i do not have any plans in the near future to visit atmanatan. thanking you
478,Deactivated,Thank you for reaching out Katherine but we dont have such a requirement.
2036,OutOfOffice,I will be out of the office today with limited access to my email. Please reach out to Anne Lachance for assistance thank you
2604,SupportAutoResponse,"Your Ticket  478785 has been resolved. Thanks for your patience and time, and we hope our customer support was satisfactory."
1693,OutOfOffice,I am working from client office and have limited access to emails. Please expect delay in response to your email. 
2898,MovedOut, Mr Neeraj has left the organization
1472,ConnectLater, Let me have some internal discussions and come back to you in the coming weeks. 
1203,OutOfOffice,"I am on leave from 11 December 2019 to 30
June 2021 and will have no access
to emails and calls. "
1670,SeekingMoreInfo, KavyaI havent received any mail earlier. Can you please share the details ofthis program along with the charges. 
3159,AgreedToMeet,I have another kind of partnership in mind if youre interested but Im guessing your outreach efforts are already going well.in case youre looking for better results Ive been training people all around Austin who are frustrated because their outreach efforts dont yield the results they want and they arent able to turn casual conversations into business opportunities. Let me know if youre interested in talking about your prospecting. 
1971,AgreedToMeet,Thank you AnshuIll will see you on the 10th of September 2021. Pls schedule my consultation with Vishnu. Although my efforts to get a better package from you than what hadoffered were in vain I would like to thank you for your patience. Attached are recent reports. Let me me know by today if you need me to takeany more tests. Im in Bangalore only tomorrow. Also attached below are photo Id and vaccination certificate. 
2152,OutOfOffice,I will be on vacation the week of October 12th. If you need immediate assistance please contact Adam Loritsch.
821,ReferredSomeone,Thank you for reaching out. Please contactyji@newrelic.com yji@newrelic.coma for any New Relic business
1998,Deactivated,Thanks for reaching out. Storage is not an area that I have any realexposure in Im afraid so wouldnt really consider this
3260,SeekingMoreInfo,Interested. Send brochure and call
1249,Retired,Unfortunately there are a couple of issues with that position which are firstly the location as I live in Harrogate North Yorkshire  secondly since September 2018 I have been retired. Best 
2504,ReferredSomeone,Looping @Mohammed Abdullah mohammed. abdullah@kaizen-firm.com
3028,OutOfOffice,I am on annual leave and will be responding to emails intermittently. If you need something urgently please call me on 44 7974982331 or email the rest of the team. Thanks.
2191,SeekingMoreInfo,Whatsmy equity stake
2973,ReferredSomeone,Thank you for contacting AAJs IT Department. For assistance or inquiries please contact Scott Gehring Chief Membership Officer at scott. gehring@justice.org. Thank youAAJ
1047,Retired,I will no longer access this account as I have retired from PABC. please direct all your emails to Sobitha Weerasekera sobitha. weerasekera@pabcbank.com in future.
1889,ReferredSomeone,This e-mail ID dmd@iifcl.org shall discontinue soon kindly send all future communications  to dmd@iifcl.inThanks and
616,OutOfOffice,I am on extended holiday break and will be back in the office on January 2.
1319,Retired,Bob Hamilton has retired from Carestream Health and cannot receive your email.  Please send this email and all future correspondence to Paul Crone at Paul.Crone@carestream.com or call 1-416-573-1500
3279,Deactivated,Thanks but I am not interested
3316,ReferredSomeone,Im sorry for getting back so late. I have been visiting our facilities upcountry and have therefore been occupied. I am going to refer you to our Head of HR Kaushik who is copied on this email. Kaushik pls address Sarahs quarries. 
2137,ReferredSomeone,My role at Colgate Palmolive is the design and engineering of packagingcomponents for eCommercely contact our procurement organization through the portal oncolgatepalmolive.com to present your companys products and services. 
3248,ReferredSomeone,"My profile has been taken over by Mr. Chirag Punjabi. For any assistance please contact him on,chirag. gcint@gmail.com  , chirag. gcint@gmail.coma or on 91-8655780639"
1773,AgreedToMeet,Thanks for the intro Emma moving you onto BCC so we dont fill up your mailbox wle you are away as Im sure you will have enough to fight your way through as it is when you come back I think you must have written my name too many times as you singed off as me lol other Emma - Really nice to -meet you. As suggested I am pretty free on the days you mentioned. how about 10am on the 7th October If that works for you then Ill send you a calendar invite across. 
3354,SupportAutoResponse,Please type your reply above this line -div stylewidth:100 text-align:center background-color:eeeeee padding-bottom:15px float:left div stylewidth:100 max-width:600px margin:0px auto padding-bottom:15px padding-top:0px background-color:FFF div stylewidth:100 float:left background-color:eeeeee a href
132,MovedOut,Thankyou for your email. I no longer work with Cherry ll Interiors . Please contactfront desk atcontact@cherryhill.in contact@cherryhill.ina
78,Unsubscribed,CAN YOU PLEASE STOP THIS SPAM OR SHALL I REPORT YOU TO THE CYBER CELL OF THE POLICE FOR SPAMMING
2053,AgreedToMeet,Thanks Akshay. Whats your number Anuj 
725,ConnectLater,I am well thank you. I did get Davids messages. Unfortunately at the moment I am not looking to recruit any senior positions the only positions that we are actively looking to hire at the moment are more junior roles. Something that we already have our own inhouse recruitment team working on. When we look to recruit any senior positions I will of course keep yourself and David in mind. 
1315,ReferredSomeone,Please connect with Susmita
1852,OutOfOffice,"I am currently on leave returning 11 Jan. I will be back to you promptly on my return. 
I hope you are enjoying time spent with loved one this festive season. "
3321,ConnectLater,At the moment Im not interested in a job including travel across country on a regular bases. Thank you very much for considering me. If you are ever searching for a job based around Frankfurt am Main I would be pleased to hear from you. 
3348,ReferredSomeone,I have already redirected you to Mr shivandand Rao as I am not the rightperson to deal it
2821,Retired,No doubt Rachel that your publication is good and the cost reasonable but as said Im retired have no use for most of ur info anymore and amin the processes of winding down my company. Sent from my iPad 
1373,ConnectLater,No need so far to have a discussion. I will let you know if we needsomething. Apologize for not replying earlier.
1856,Retired,I have retired as Chairman of Impax Asset Management Group plc and no longer have access to this email account.
1320,AgreedToMeet,Below are my coordinates. Do feel free to get connected anytime between 10am to 6 Pm tomorrow. We shall discuss. 
3266,AgreedToMeet,Yup. We do. Whats your mobile number
2475,MovedOut,This person no longer works at Turbot and this account is no longer monitored. Please contact marketing@turbot.com for any queries. 
376,ReferredSomeone,The email ID you are trying to send doesnot exist anymore. Please get in touch with it@mescosteel.com info@mescosteel.comhelpdesk@mescosteel.com for the changed email ID details.
1909,Deactivated,Thanks Minakshi for the follow-up. But we do not need these services at this point in time. 
334,OutOfOffice,I am OOO today. I will respond to your message with some delay. If urgent please call me at 31651801845 and leave a voicemail if I do not respond immediately or send a text message.
2567,SeekingMoreInfo,PoojaI do not think you are aware that I also run a CFO Services Company. Thank you. Best 
2619,OutOfOffice,"Thank you for your message. I am out of the office with limited access to email or phone returning July 1. 
Nick"
2366,ReferredSomeone," You may connect with Suraj Singh @ surajs@fss.co.in,surajs@fss.co.in. I do not look after ring. "
1605,AgreedToMeet,I am reaching out in reference to your email conversation with my colleagueAoorthu regarding our Email Marketing offerings. Well I am one of the senior marketing consultants here at foreignerds.comand my core expertise is adding value to brands by helping them leverageinbound marketing and digital advertising. Lets connect sometime this week and talk about how our offerings can helpyou take your brand to the next levelUse my meeting link
1119,OutOfOffice,Am on block leave and will be back to office 4th Jan 2021. Officer-in-charge during my absence is Puan Hazleen Ismail ext 71073. Happy New Year. 
3217,SeekingMoreInfo,Our offices are based in Melbourne and I noticed that you are based inNSW.  Do you have access the Melbourne based candidatesIf so I am happy to meet with you. 
1944,Unsubscribed,Please remove me from your mailing lists immediately. We do not use recruitment agencies
2577,Retired,I am retired
2377,Deactivated,Thanks for your email but I must say we are not interested at this time.
2863,Unsubscribed,Please remove from mailing list  Darren no longer works for SuncorpThank you
1343,Deactivated,Thanks but not of interest
321,SeekingMoreInfo,We are globally present in Dubai UK US Malaysia Saudi Arabia Indonesiaand a few more. Would this system be suitable for us
1620,MovedOut,Thank you for contacting HR@indrasoft.com. As of 1 October 2021 this email box should no longer be used for HR correspondence.instead please forward your email to hrmissions@ecstech.com and a Human Resource team member will get back to you. This message is for the designated recipient only and may contain privileged proprietary or otherwise private information. If you have received it in error please notify the sender immediately and delete the original. 
2851,AgreedToMeet,Been trying to connect with youMany opportunities are coming upDo connect
2061,Deactivated,Thank you for the offer we are not interested
2220,SeekingMoreInfo,  Trust you are doing well I am Blessy your point of contact at HubSpotLooking out for a Marketing Sales or a Service CRM to simplify yourprocesses for In-med Prognostics HubSpot has a solution to help you growbetter. If you would like to connect with me to evaluate our Paid Products anddiscuss on our HubSpot Product Overview
1674,SeekingMoreInfo,Essentially I would like to know the costing for a 5 day package and ifthere is wifi for me to work from there.
1943,ReferredSomeone,Nates email address isnathan. redmond@tsasafety.com
261,SupportAutoResponse,Thank you for your email. If you do not receive a reply from us within 24 hours it means that we have not received the communication. May we then request you to resend the same email again. Thank You
2673,SupportAutoResponse,Please enter replies above this line You are receiving this message because a ticket was created for your company. Replies to this email will be added as a note onto this ticket. Ticket T20210811.0041: Reference from Aarons email 4203984939092 Thank you for contacting us. A service ticket T20210811.0041 has been created for UTEC. We will attend to your ticket as soon as possible. The details of the ticket are listed below. When replying to this ticket please ensure that the ticket number is included in the email subject line. Ticket : T20210811.0041 Created on 08112021 10:47 AM ET by Autotask Administrator Title: Reference from Aarons email 4203984939092 Description:
2040,SupportAutoResponse,Please type your reply above this line -Thank you for contacting Headway.This is just a quick note letting you know weve received your message and will be in touch soon.Ticket: 37768
690,SeekingMoreInfo,Could you please share the URL of the websitealong with the list of bugs issues you have fixed Or let me know the think time to connect with you over a call.
902,ConnectLater,Thanks for wiring in. I sincerely hope you and your families are safe and healthy during these challenging times. Currently we do not require any SEO or performance eting agency. Having said that I will definitely reach out to you in future as soon as the need arises. 
2307,SeekingMoreInfo,If any brochures please send to check if we can cooperate as Unfortunately I didnt attend the previous seminar. 
2027,ConnectLater,Trust you are doing well. I connected with someone in Kelly over phone on the same topic I dont remember exactly if it was you or one of your colleagues. I explained that we have a global preferred supplier base for staffing services and we would be working with that supplier base in India at least for this yr. If theres any change in strategy in future we will reach out to service providers outside our preferred network. Hope this clarifies on current set up. If theres any requirement in future for which we need a local service provider I would be happy to invite Kelly in the tender
139,SupportAutoResponse,This message has been automatically generated in response to the creation of arequest ticket a summary of which appears below.There is no need to reply to this message right now. Your ticket has beenassigned an ID of iptp.net 879811.Please include the string iptp.net 879811 in the subject line of all futurecorrespondence about this issue. To do so you may reply to this message
1918,MovedOut," Thanks for your email. brI am no longer working with Opia Labs. Please contact Vineet a href,vineet@opia-labs.com ,vineet@opia-labs.com"
1829,OutOfOffice,"Thank you for your email. 
I am out of office until Tuesday Septmeber 8th. Please contact our New Westminster office if you need asistance at 604-684-2259. Please email to BC@ablemployment.com"
1574,ReferredSomeone,Thank you for your email. We are pleased to inform you that we have re-branded ourselves as EffiGO. You can now email me at lakshmi. gadiraju@effigo.in. Request you to update the same in your address book
320,ReferredSomeone,Thank you for your e-mail. As you may know Silver Peak was recently acquired by Hewlett Packard Enterprise. As part of the acquisition Ive been given a new email address where I can be reached. Please send email to me at chris. liou@hpe.com. 
654,SupportAutoResponse,Please type your reply above this line -Your request Reference from Alexs email 4035825595212 has been received and is now being reviewed by the GL Helpdesk.The IT Service Desk is currently receiving a very high volume of traffic and we are now working at capacity and tickets are being triaged on a priority basis.Please continue to submit IT issues in the normal manner but please also bear with us at this very busy time.Thank you for your understanding on this.Alex ClempsonChief Technology OfficerGL Scientific
2138,SeekingMoreInfo,We will start using 7Targets for ourselves to support our sales andmarketing efforthis. We are currently looking to close on a marketing candidate and will reachout to you as soon as we get the resource started. Do recommend any potential candidates that we can recruit as well. think
2640,SeekingMoreInfo,We would like to know more information on the same
559,Deactivated,Thank you for reaching out. We are currently not interested
2188,SeekingMoreInfo, SarahThank you for getting in contact. We continually look for partners to help us find new products ideas and technologies that will help us serve our customers colleagues and communities even better in the future. To help us review and respond to you quickly please can you submit your proposal through our innovation portal which guides you through a few key questions 
113,ReferredSomeone,This e-mail ID dmd@iifcl.org shall discontinue soon kindly send all future communications  to dmd@iifcl.in
532,OutOfOffice,out of office today
225,Deactivated,I dont think this message is for me. 
724,ReferredSomeone,Your email is being auto-forwarded to my new email ID arjun. sirur@cotmac.ioKindly note that my email id has been changed and new email is arjun. sirur@cotmac.ioYou are requested to save the new email ID in your contact list. Henceforth kindly send your emails to my new email ID. 
2755,Unsubscribed,Can you stop emailing me
2922,Unsubscribed,Kindly remove me from all contact lists. 
1434,ReferredSomeone,Please contact Jennifer Rue Financial Center Chief Risk and Compliance Officer at jrue@fcfcu.com for assistance
2374,Deactivated,:I dont see a fit. 
2648,OutOfOffice,Thanks for the mail. I am not in office today; there might be delay in response
2721,SupportAutoResponse,Please type your reply above this line -Your request 179090 has been received and is being reviewed by our support staff.To add additional comments reply to this email.--------------------------------
1459,ReferredSomeone,"Thanks for your mail. following up on your email below Rachna has advised me to connect you with Siva Emani. You may reach out to him at siva. emani@se.com , siva. emani@se.comThanks"
3072,MovedOut,Thank you for your email however Im no longer with Qlik. Please resend the message to amanda. hogberg@qlik.com
847,MovedOut,Thank you for your message My last day with Mirantis was March 12/2021. For assistance please contact:Curriculum Development  Training Partners: Bill Mills wmills@mirantis.com
194,MovedOut,Corey Skonberg is no longer with Drive DeVilbiss Healthcare. For IT inquires please email ITHelpdesk@drivemedical.com and a representative will reach out to you. If this is a critical issue please dial x4357. 
1465,SeekingMoreInfo,Sorry didnt see ur earlier emails. 1 Age of travellers -482 Health Objective - gh BP  Anxiety Lower Back pain. 3 Underlying health conditions - Breathlessness Low B12. 
947,Deactivated,Maam. The proposal is good . But I cannot invest so much. So not possible for me. Thanks for reminding me. 
2022,SupportAutoResponse,Please type your reply above this line -div stylewidth:100 text-align:center background-color:eeeeee padding-bottom:15px float:left div stylewidth:100 max-width:600px margin:0px auto padding-bottom:15px padding-top:0px background-color:FFF div stylewidth:100 float:left background-color:eeeeee a href
1630,SeekingMoreInfo,Who is this  Please write the correct name in communication. 
118,SeekingMoreInfo,We have freezing of hiring for HQ positions but pls share the CV wo any engagements from our side. 
646,AgreedToMeet,Thank you for reaching out. Can we connect sometime tomorrow to discuss
1871,Deactivated,Thanks for making contact. Im not looking to change role currently.
4,Unsubscribed, Many thanks for your email to Kay and could I ask you to remove her from your database. I am the resourcing manager here at Northumbrian Water and at present we are not looking to engage with any new agencies so I have your details now if they are needed in the future
75,AgreedToMeet,AdamGeraint has made arrangements to speak to you
1756,ReferredSomeone,Rasheed  Thanks for your email. Connecting you to Namratha. She manages all HR related activities at Eblitz
468,Retired,I have retired from Cary Medical Center effective September 4 2020 and will no longer be monitoring this email address. All future inquiries should be directed to Timothy Conroy Chief Information Officer at tconroy@carymed.org
6,ConnectLater,We would not be interested immediately. We will let you know about any ofthe upcoming opportunities. We will keep in touch
1247,ConnectLater,Thank you for your follow up. Yes my customers are aware of always monitoring the results of the Lube oilanalysis and so far the TAN values are within the OEM recommendationslimits. 
920,SeekingMoreInfo,RajalaxmiWe are ready to pass UI React position but please note candidates should be available or join us immediately.compulsory Skills: React and ReduxExperience: 3 yrsAvailability: 
229,Retired,Thank you for the details of this position.  Although I can do and have done most of the things listed there are things which I havent and things that I avoid.  However this is academic as Ive retired now.
1064,SeekingMoreInfo,Share more details on your strength of IT recruitment. 
243,Retired,Richard Ragan has retired but occasionally comes in the office to assist. Make sure you copy JEFF@STEELERECTORSINC.COM on any messages to Richard. For assistance please contact:David CliftonO: 912-544-1380 david@steelerectorsinc.com
2595,MovedOut,I am no longer working for Zendesk. Please direct your email topudayanchiechi@zendesk.com. 
1161,ConnectLater,We are ok for the moment but we will be in contact if we need anyone infuture
2855,Unsubscribed,Can you take me of this mailing list Its very annoying. 
3388,MovedOut,I left Whitepanda last month. For further communications kindly get in touch with our Founder Roshan at broshan@whitepanda.in roshan@whitepanda.in
1527,ReferredSomeone,"Please be advised all inquiries to this mailbox should now be directed to Mathew Chase at Mathew. Chase@ellucian.com,Mathew. Chase@ellucian.comThank You"
1606,SeekingMoreInfo,Can I know more about it as Location And notice period time
3170,OutOfOffice,I am OOO returning on Friday 1-October-2021For TAPFIN items please contact Tapfinmsp@ey.comFor other items needing immediate attention please contact Rod. Monti@ey.com
3384,SeekingMoreInfo,Please find attached herewith NIT  of 1000 LPH electrostaic filter forkadra power house -
2646,AgreedToMeet,Thanks for your kind message. Will arrange a team meeting next week. 
2893,OutOfOffice,"Thanks for your mail. I am on my annual leaves right now & will be
back to office on 6th Jan. Kindly account for delay in response. "
1990,OutOfOffice,"I am away May 11th to 15th and will return to the office Tuesday May 19th. I will be checking emails periodically however if your request is urgent please contact:
Engineering related requests: Curtis Camara at ccamara@herd.com
Sales related requests: Diana Toovey at dtoovey@herd.com
"
2671,ReferredSomeone,Thank you for the mail. Could you please reach out to lekshmi@litmus7.comto take it forward. She can take a call on this.
2363,SeekingMoreInfo,Thanks for getting in touch - the opportunity sounds really interestingIve been doing a lot of work on battery storage lately and I think its areally exciting area for the future so it would be great to hear moreabout the role. Do you have a job description or would you be able to share further detailsplease
1976,ConnectLater,Will let you when interested again
1762,ConnectLater,Thank you for the mail will revert for any future requirements
1306,SupportAutoResponse,-Please reply above this line --thereKabirThanks for getting in touch with LinkedSelling. We monitor emailsupport from9am-5pmCentral Time Monday-Friday. Well get backto you within 1 business day.Cheers.Tom
1542,SupportAutoResponse,This message has been automatically generated in response to the creation of arequest ticket a summary of which appears below.There is no need to reply to this message right now. Your ticket has beenassigned an ID of iptp.net 879684.Please include the string iptp.net 879684 in the subject line of all futurecorrespondence about this issue. To do so you may reply to this message
2473,ReferredSomeone,Thanks for reaching outPlease reach out tosandipan. g@purplle.com for any WH related queriesjincey. j@purplle.com for any other queries. 
623,Deactivated,Thanks for your email we do not require this equipment.
2631,Retired,The time has come for me to say goodbye and to head off into my retirement. Thank you for your emails orders and conversations through the years. I have enjoyed every onePlease expect a prompt response from David Bothner or Tim Adams each of whom will take good care of you
1494,Unsubscribed,hi we are not interested in your franchisee. Please remove us from your list. 
111,Deactivated,Not interestedThank
